ID,Titre,Année,Genres,Note,Votes
tt0066402,Start the Revolution Without Me,1970,"Comedy,History",6.4,3264
tt0066407,Quiet Days in Clichy,1970,"Comedy,Drama",5.1,1162
tt0066412,The Strange Vice of Mrs. Wardh,1971,"Crime,Horror,Mystery",6.9,5694
tt0066413,The Spider's Stratagem,1970,"Drama,Mystery",6.9,3229
tt0066415,The Strawberry Statement,1970,"Drama,Romance",6.6,1855
tt0066423,Perched on a Tree,1971,Comedy,6.3,3589
tt0066434,THX 1138,1971,"Drama,Sci-Fi,Thriller",6.6,55539
tt0066445,"Tell Me That You Love Me, Junie Moon",1970,"Comedy,Drama,Romance",6.1,1052
tt0066448,There Was a Crooked Man...,1970,"Comedy,Western",6.8,5370
tt0066449,There's a Girl in My Soup,1970,"Comedy,Romance",5.7,2855
tt0066450,They Call Me Mister Tibbs!,1970,"Crime,Drama,Mystery",6.0,4486
tt0066461,One Song a Day Takes Mischief Away,1970,"Comedy,Drama,Musical",8.5,2685
tt0066471,Too Late the Hero,1970,"Action,Drama,War",6.6,4091
tt0066473,Tora! Tora! Tora!,1970,"Action,Drama,History",7.5,37994
tt0066476,The Touch of Satan,1971,Horror,2.3,3172
tt0066482,Trash,1970,Drama,6.1,2926
tt0066491,Tristana,1970,Drama,7.4,13091
tt0066492,Trog,1970,"Horror,Sci-Fi",4.0,3288
tt0066495,The Twelve Chairs,1970,"Comedy,Drama",6.4,7268
tt0066498,The Ear,1970,"Drama,Thriller",7.7,3425
tt0066500,Hope,1970,Drama,8.0,4434
tt0066511,Many Wars Ago,1970,"Drama,War",7.6,1999
tt0066516,Valerie and Her Week of Wonders,1970,"Adventure,Drama,Fantasy",7.0,11760
tt0066518,The Vampire Lovers,1970,Horror,6.4,8050
tt0066530,Long Live Death,1971,"Drama,War",6.5,1557
tt0066540,WUSA,1970,"Drama,Romance",5.5,1424
tt0066546,Why Does Herr R. Run Amok?,1970,Drama,7.2,2970
tt0066549,Waterloo,1970,"Action,Biography,Drama",7.3,13150
tt0066550,Watermelon Man,1970,"Comedy,Drama,Fantasy",6.7,3033
tt0066561,When Dinosaurs Ruled the Earth,1970,"Adventure,Fantasy,Romance",5.1,2962
tt0066563,Where's Poppa?,1970,Comedy,6.4,2385
tt0066564,Which Way to the Front?,1970,"Comedy,War",4.6,1487
tt0066565,White Sun of the Desert,1970,"Action,Adventure,Comedy",7.7,8062
tt0066578,The Wizard of Gore,1970,Horror,5.2,4117
tt0066580,Woodstock,1970,"Documentary,History,Music",8.1,18763
