ID,Titre,Année,Genres,Note,Votes,Titre Français,Nom du/des Réalisateur(s)
tt0065491,Mark of the Devil,1970,"Drama,History,Horror",6.1,4093,La Marque du diable,"['Michael Armstrong', 'Adrian Hoven']"
tt0065492,Brewster McCloud,1970,"Comedy,Crime,Fantasy",6.8,5895,Brewster McCloud,['Robert Altman']
tt0065509,Sartana's Here... Trade Your Pistol for a Coffin,1970,"Drama,Western",6.2,1115,"Django arrive, préparez vos cercueils",['Giuliano Carnimeo']
tt0065509,Sartana's Here... Trade Your Pistol for a Coffin,1970,"Drama,Western",6.2,1115,Django arrive... préparez vos cercueils...,['Giuliano Carnimeo']
tt0065511,C.C. & Company,1970,"Action,Comedy,Drama",4.8,1063,,['Seymour Robbie']
tt0065524,Carry on Loving,1970,"Comedy,Romance",5.9,2715,La Marieuse électronique,['Gerald Thomas']
tt0065525,Carry on Up the Jungle,1970,"Adventure,Comedy",5.9,3239,Les cinglés partent en safari,['Gerald Thomas']
tt0065528,Catch-22,1970,"Comedy,Drama,War",7.1,26986,Catch-22,['Mike Nichols']
tt0065531,The Red Circle,1970,"Crime,Drama,Thriller",7.9,29482,Le cercle rouge,['Jean-Pierre Melville']
tt0065542,The Cheyenne Social Club,1970,Western,6.8,5214,Attaque au Cheyenne Club,['Gene Kelly']
tt0065547,Chisum,1970,"Biography,Drama,Western",6.8,11251,Chisum,['Andrew V. McLaglen']
tt0065553,Five Dolls for an August Moon,1970,"Crime,Horror,Mystery",5.7,3602,L'île de l'épouvante,['Mario Bava']
tt0065553,Five Dolls for an August Moon,1970,"Crime,Horror,Mystery",5.7,3602,5 filles dans une nuit chaude d'été,['Mario Bava']
tt0065555,Violent City,1970,"Action,Crime,Thriller",6.2,3687,The Final Shot,['Sergio Sollima']
tt0065555,Violent City,1970,"Action,Crime,Thriller",6.2,3687,La cité de la violence,['Sergio Sollima']
tt0065569,Count Dracula,1970,"Drama,Horror",5.6,4057,Les nuits de Dracula,['Jesús Franco']
tt0065570,El Condor,1970,"Action,Adventure,Drama",6.0,1449,El condor,['John Guillermin']
tt0065571,The Conformist,1970,Drama,7.9,34644,Le conformiste,['Bernardo Bertolucci']
tt0065579,Cotton Comes to Harlem,1970,"Action,Comedy,Crime",6.4,2779,Le Casse de l'oncle Tom,['Ossie Davis']
tt0065580,Countess Dracula,1971,Horror,5.9,4998,Comtesse Dracula,['Peter Sasdy']
tt0065591,Crimes of the Future,1970,"Comedy,Sci-Fi",4.7,3274,Crimes of the Future,['David Cronenberg']
tt0065593,Cromwell,1970,"Biography,Drama,History",7.0,7273,Cromwell,['Ken Hughes']
tt0065595,Crucible of Horror,1971,"Drama,Horror,Thriller",5.2,1166,,['Viktors Ritelis']
tt0065597,Cry of the Banshee,1970,Horror,5.5,3028,Les crocs de Satan,['Gordon Hessler']
tt0065611,Darling Lili,1970,"Comedy,Drama,Musical",6.0,2509,Darling Lili,['Blake Edwards']
tt0065620,Deadlock,1970,"Thriller,Western",6.5,1497,Deadlock,['Roland Klick']
tt0065622,The Decameron,1971,"Comedy,Drama,History",7.0,12668,Le Décaméron,['Pier Paolo Pasolini']
tt0065636,Diary of a Mad Housewife,1970,"Comedy,Drama",7.0,2366,Le Journal intime d'une femme mariée,['Frank Perry']
tt0065642,Dirty Dingus Magee,1970,"Comedy,Romance,Western",5.2,1098,Un beau salaud,['Burt Kennedy']
tt0065649,Dodes'ka-den,1970,Drama,7.3,7824,Dodeskaden,['Akira Kurosawa']
tt0065651,Bed & Board,1970,"Comedy,Drama,Romance",7.4,10895,Domicile conjugal,['François Truffaut']
tt0065656,Dorian Gray,1970,"Horror,Thriller",5.8,1316,Le Dépravé,['Massimo Dallamano']
tt0065662,The Pizza Triangle,1970,"Comedy,Drama,Romance",7.1,2427,Drame de la jalousie,['Ettore Scola']
tt0065666,Pero the Lump's Gang,1970,"Adventure,Family",7.7,1068,,['Vladimir Tadej']
tt0065669,The Dunwich Horror,1970,Horror,5.4,5388,Horreur à volonté,['Daniel Haller']
tt0065669,The Dunwich Horror,1970,Horror,5.4,5388,Dunwich Horror,['Daniel Haller']
tt0065670,Twelve Chairs,1971,"Adventure,Comedy,Crime",8.2,7503,Les douze heures,['Leonid Gaidai']
tt0065677,The Forbidden Photos of a Lady Above Suspicion,1970,"Horror,Mystery,Thriller",6.2,2248,Photo interdite d'une bourgeoise,['Luciano Ercoli']
tt0065687,Elvis: That's the Way It Is,1970,"Documentary,Music",7.9,3306,Elvis Show,['Denis Sanders']
